key,opp_abbr,wy,time,surface,roof,stadium,weather,lineHit,simpleVl,month,ouHit,simpleOu
TAM-197809020tam,NYG,1 | 1978,2,0,1,113,83|76|8,0,-2.0,9,0,36.5|p
NYG-197809020tam,TAM,1 | 1978,2,0,1,113,83|76|8,0,2.0,9,0,30.5|o
ATL-197809030atl,OTI,1 | 1978,0,0,1,8,77|75|10,0,3.5,9,0,48.5|o
OTI-197809030atl,ATL,1 | 1978,0,0,1,8,77|75|10,0,-3.5,9,0,30.5|o
BUF-197809030buf,PIT,1 | 1978,0,1,1,90,67|81|13,1,10.5,9,0,48.5|u
PIT-197809030buf,BUF,1 | 1978,0,1,1,90,67|81|13,1,-10.5,9,0,40.5|o
CIN-197809030cin,KAN,1 | 1978,0,1,1,92,68|77|6,0,-8.0,9,0,28.0|o
KAN-197809030cin,CIN,1 | 1978,0,1,1,92,68|77|6,0,8.0,9,0,31.5|o
CLE-197809030cle,SFO,1 | 1978,0,0,1,19,69|76|11,1,-4.5,9,0,29.0|u
SFO-197809030cle,CLE,1 | 1978,0,0,1,19,69|76|11,1,4.5,9,0,51.0|p
DET-197809030det,GNB,1 | 1978,0,1,0,80,Dome,0,-8.0,9,0,34.5|u
GNB-197809030det,DET,1 | 1978,0,1,0,80,Dome,0,8.0,9,0,45.5|o
NOR-197809030nor,MIN,1 | 1978,0,1,0,54,Dome,0,6.5,9,0,46.0|u
MIN-197809030nor,NOR,1 | 1978,0,1,0,54,Dome,0,-6.5,9,0,31.5|u
NWE-197809030nwe,WAS,1 | 1978,0,1,1,97,71|70|13,0,-9.5,9,0,53.0|o
WAS-197809030nwe,NWE,1 | 1978,0,1,1,97,71|70|13,0,9.5,9,0,56.5|u
NYJ-197809030nyj,MIA,1 | 1978,0,0,1,100,72|68|7,0,4.0,9,0,32.0|u
MIA-197809030nyj,NYJ,1 | 1978,0,0,1,100,72|68|7,0,-4.0,9,0,55.0|o
PHI-197809030phi,RAM,1 | 1978,0,1,1,123,73|69|9,0,6.0,9,0,32.0|u
RAM-197809030phi,PHI,1 | 1978,0,1,1,123,73|69|9,0,-6.0,9,0,30.0|u
CHI-197809030chi,CRD,1 | 1978,1,1,1,102,74|69|13,1,-3.5,9,0,50.0|u
CRD-197809030chi,CHI,1 | 1978,1,1,1,102,74|69|13,1,3.5,9,0,42|p
DEN-197809030den,RAI,1 | 1978,1,0,1,67,75|25|13,0,4.0,9,0,49.0|u
RAI-197809030den,DEN,1 | 1978,1,0,1,67,75|25|13,0,-4.0,9,0,38.0|u
SEA-197809030sea,SDG,1 | 1978,1,1,0,99,Dome,0,6.0,9,0,36.5|u
SDG-197809030sea,SEA,1 | 1978,1,1,0,99,Dome,0,-6.0,9,0,51.5|u
DAL-197809040dal,CLT,1 | 1978,2,1,1,114,87|46|9,1,-10.5,9,0,53.0|o
CLT-197809040dal,DAL,1 | 1978,2,1,1,114,87|46|9,1,10.5,9,0,56.5|o
