key,opp_abbr,wy,week,season,seasonWins,seasonLoses,seasonWinPercentage,isHome
BUF-198009070buf,MIA,1 | 1980,1,1980,0,0,0.0,1
MIA-198009070buf,BUF,1 | 1980,1,1980,0,0,0.0,0
CIN-198009070cin,TAM,1 | 1980,1,1980,0,0,0.0,1
TAM-198009070cin,CIN,1 | 1980,1,1980,0,0,0.0,0
CRD-198009070crd,NYG,1 | 1980,1,1980,0,0,0.0,1
NYG-198009070crd,CRD,1 | 1980,1,1980,0,0,0.0,0
GNB-198009070gnb,CHI,1 | 1980,1,1980,0,0,0.0,1
CHI-198009070gnb,GNB,1 | 1980,1,1980,0,0,0.0,0
MIN-198009070min,ATL,1 | 1980,1,1980,0,0,0.0,1
ATL-198009070min,MIN,1 | 1980,1,1980,0,0,0.0,0
NOR-198009070nor,SFO,1 | 1980,1,1980,0,0,0.0,1
SFO-198009070nor,NOR,1 | 1980,1,1980,0,0,0.0,0
NWE-198009070nwe,CLE,1 | 1980,1,1980,0,0,0.0,1
CLE-198009070nwe,NWE,1 | 1980,1,1980,0,0,0.0,0
PIT-198009070pit,OTI,1 | 1980,1,1980,0,0,0.0,1
OTI-198009070pit,PIT,1 | 1980,1,1980,0,0,0.0,0
KAN-198009070kan,RAI,1 | 1980,1,1980,0,0,0.0,1
RAI-198009070kan,KAN,1 | 1980,1,1980,0,0,0.0,0
NYJ-198009070nyj,CLT,1 | 1980,1,1980,0,0,0.0,1
CLT-198009070nyj,NYJ,1 | 1980,1,1980,0,0,0.0,0
PHI-198009070phi,DEN,1 | 1980,1,1980,0,0,0.0,1
DEN-198009070phi,PHI,1 | 1980,1,1980,0,0,0.0,0
RAM-198009070ram,DET,1 | 1980,1,1980,0,0,0.0,1
DET-198009070ram,RAM,1 | 1980,1,1980,0,0,0.0,0
SEA-198009070sea,SDG,1 | 1980,1,1980,0,0,0.0,1
SDG-198009070sea,SEA,1 | 1980,1,1980,0,0,0.0,0
WAS-198009080was,DAL,1 | 1980,1,1980,0,0,0.0,1
DAL-198009080was,WAS,1 | 1980,1,1980,0,0,0.0,0
TAM-198009110tam,RAM,2 | 1980,2,1980,1,0,1.0,1
RAM-198009110tam,TAM,2 | 1980,2,1980,0,1,0.0,0
BUF-198009140buf,NYJ,2 | 1980,2,1980,1,0,1.0,1
NYJ-198009140buf,BUF,2 | 1980,2,1980,0,1,0.0,0
MIN-198009140min,PHI,2 | 1980,2,1980,1,0,1.0,1
PHI-198009140min,MIN,2 | 1980,2,1980,1,0,1.0,0
NWE-198009140nwe,ATL,2 | 1980,2,1980,1,0,1.0,1
ATL-198009140nwe,NWE,2 | 1980,2,1980,0,1,0.0,0
CHI-198009140chi,NOR,2 | 1980,2,1980,0,1,0.0,1
NOR-198009140chi,CHI,2 | 1980,2,1980,0,1,0.0,0
CLT-198009140clt,PIT,2 | 1980,2,1980,1,0,1.0,1
PIT-198009140clt,CLT,2 | 1980,2,1980,1,0,1.0,0
GNB-198009140gnb,DET,2 | 1980,2,1980,1,0,1.0,1
DET-198009140gnb,GNB,2 | 1980,2,1980,1,0,1.0,0
KAN-198009140kan,SEA,2 | 1980,2,1980,0,1,0.0,1
SEA-198009140kan,KAN,2 | 1980,2,1980,0,1,0.0,0
DEN-198009140den,DAL,2 | 1980,2,1980,0,1,0.0,1
DAL-198009140den,DEN,2 | 1980,2,1980,1,0,1.0,0
MIA-198009140mia,CIN,2 | 1980,2,1980,0,1,0.0,1
CIN-198009140mia,MIA,2 | 1980,2,1980,0,1,0.0,0
NYG-198009140nyg,WAS,2 | 1980,2,1980,1,0,1.0,1
WAS-198009140nyg,NYG,2 | 1980,2,1980,0,1,0.0,0
SDG-198009140sdg,RAI,2 | 1980,2,1980,1,0,1.0,1
RAI-198009140sdg,SDG,2 | 1980,2,1980,1,0,1.0,0
SFO-198009140sfo,CRD,2 | 1980,2,1980,1,0,1.0,1
CRD-198009140sfo,SFO,2 | 1980,2,1980,0,1,0.0,0
CLE-198009150cle,OTI,2 | 1980,2,1980,0,1,0.0,1
OTI-198009150cle,CLE,2 | 1980,2,1980,0,1,0.0,0
ATL-198009210atl,MIA,3 | 1980,3,1980,1,1,0.5,1
MIA-198009210atl,ATL,3 | 1980,3,1980,1,1,0.5,0
CHI-198009210chi,MIN,3 | 1980,3,1980,1,1,0.5,1
MIN-198009210chi,CHI,3 | 1980,3,1980,1,1,0.5,0
CIN-198009210cin,PIT,3 | 1980,3,1980,0,2,0.0,1
PIT-198009210cin,CIN,3 | 1980,3,1980,2,0,1.0,0
CLE-198009210cle,KAN,3 | 1980,3,1980,0,2,0.0,1
KAN-198009210cle,CLE,3 | 1980,3,1980,0,2,0.0,0
DET-198009210det,CRD,3 | 1980,3,1980,2,0,1.0,1
CRD-198009210det,DET,3 | 1980,3,1980,0,2,0.0,0
NYJ-198009210nyj,SFO,3 | 1980,3,1980,0,2,0.0,1
SFO-198009210nyj,NYJ,3 | 1980,3,1980,2,0,1.0,0
NOR-198009210nor,BUF,3 | 1980,3,1980,0,2,0.0,1
BUF-198009210nor,NOR,3 | 1980,3,1980,2,0,1.0,0
OTI-198009210oti,CLT,3 | 1980,3,1980,1,1,0.5,1
CLT-198009210oti,OTI,3 | 1980,3,1980,1,1,0.5,0
DAL-198009210dal,TAM,3 | 1980,3,1980,1,1,0.5,1
TAM-198009210dal,DAL,3 | 1980,3,1980,2,0,1.0,0
DEN-198009210den,SDG,3 | 1980,3,1980,1,1,0.5,1
SDG-198009210den,DEN,3 | 1980,3,1980,2,0,1.0,0
RAI-198009210rai,WAS,3 | 1980,3,1980,1,1,0.5,1
WAS-198009210rai,RAI,3 | 1980,3,1980,1,1,0.5,0
RAM-198009210ram,GNB,3 | 1980,3,1980,0,2,0.0,1
GNB-198009210ram,RAM,3 | 1980,3,1980,1,1,0.5,0
SEA-198009210sea,NWE,3 | 1980,3,1980,1,1,0.5,1
NWE-198009210sea,SEA,3 | 1980,3,1980,1,1,0.5,0
PHI-198009220phi,NYG,3 | 1980,3,1980,2,0,1.0,1
NYG-198009220phi,PHI,3 | 1980,3,1980,1,1,0.5,0
BUF-198009280buf,RAI,4 | 1980,4,1980,3,0,1.0,1
RAI-198009280buf,BUF,4 | 1980,4,1980,2,1,0.6666666666666666,0
CIN-198009280cin,OTI,4 | 1980,4,1980,1,2,0.3333333333333333,1
OTI-198009280cin,CIN,4 | 1980,4,1980,2,1,0.6666666666666666,0
DET-198009280det,MIN,4 | 1980,4,1980,3,0,1.0,1
MIN-198009280det,DET,4 | 1980,4,1980,2,1,0.6666666666666666,0
GNB-198009280gnb,DAL,4 | 1980,4,1980,1,2,0.3333333333333333,1
DAL-198009280gnb,GNB,4 | 1980,4,1980,2,1,0.6666666666666666,0
MIA-198009280mia,NOR,4 | 1980,4,1980,2,1,0.6666666666666666,1
NOR-198009280mia,MIA,4 | 1980,4,1980,0,3,0.0,0
NYG-198009280nyg,RAM,4 | 1980,4,1980,1,2,0.3333333333333333,1
RAM-198009280nyg,NYG,4 | 1980,4,1980,1,2,0.3333333333333333,0
PIT-198009280pit,CHI,4 | 1980,4,1980,2,1,0.6666666666666666,1
CHI-198009280pit,PIT,4 | 1980,4,1980,1,2,0.3333333333333333,0
TAM-198009280tam,CLE,4 | 1980,4,1980,2,1,0.6666666666666666,1
CLE-198009280tam,TAM,4 | 1980,4,1980,1,2,0.3333333333333333,0
CRD-198009280crd,PHI,4 | 1980,4,1980,0,3,0.0,1
PHI-198009280crd,CRD,4 | 1980,4,1980,3,0,1.0,0
CLT-198009280clt,NYJ,4 | 1980,4,1980,1,2,0.3333333333333333,1
NYJ-198009280clt,CLT,4 | 1980,4,1980,0,3,0.0,0
KAN-198009280kan,SDG,4 | 1980,4,1980,0,3,0.0,1
SDG-198009280kan,KAN,4 | 1980,4,1980,3,0,1.0,0
SFO-198009280sfo,ATL,4 | 1980,4,1980,3,0,1.0,1
ATL-198009280sfo,SFO,4 | 1980,4,1980,1,2,0.3333333333333333,0
WAS-198009280was,SEA,4 | 1980,4,1980,1,2,0.3333333333333333,1
SEA-198009280was,WAS,4 | 1980,4,1980,1,2,0.3333333333333333,0
NWE-198009290nwe,DEN,4 | 1980,4,1980,2,1,0.6666666666666666,1
DEN-198009290nwe,NWE,4 | 1980,4,1980,1,2,0.3333333333333333,0
ATL-198010050atl,DET,5 | 1980,5,1980,2,2,0.5,1
DET-198010050atl,ATL,5 | 1980,5,1980,4,0,1.0,0
CLE-198010050cle,DEN,5 | 1980,5,1980,2,2,0.5,1
DEN-198010050cle,CLE,5 | 1980,5,1980,1,3,0.25,0
GNB-198010050gnb,CIN,5 | 1980,5,1980,1,3,0.25,1
CIN-198010050gnb,GNB,5 | 1980,5,1980,1,3,0.25,0
MIA-198010050mia,CLT,5 | 1980,5,1980,3,1,0.75,1
CLT-198010050mia,MIA,5 | 1980,5,1980,2,2,0.5,0
MIN-198010050min,PIT,5 | 1980,5,1980,2,2,0.5,1
PIT-198010050min,MIN,5 | 1980,5,1980,3,1,0.75,0
NOR-198010050nor,CRD,5 | 1980,5,1980,0,4,0.0,1
CRD-198010050nor,NOR,5 | 1980,5,1980,1,3,0.25,0
NYJ-198010050nyj,NWE,5 | 1980,5,1980,0,4,0.0,1
NWE-198010050nyj,NYJ,5 | 1980,5,1980,3,1,0.75,0
OTI-198010050oti,SEA,5 | 1980,5,1980,3,1,0.75,1
SEA-198010050oti,OTI,5 | 1980,5,1980,2,2,0.5,0
PHI-198010050phi,WAS,5 | 1980,5,1980,3,1,0.75,1
WAS-198010050phi,PHI,5 | 1980,5,1980,1,3,0.25,0
DAL-198010050dal,NYG,5 | 1980,5,1980,3,1,0.75,1
NYG-198010050dal,DAL,5 | 1980,5,1980,1,3,0.25,0
RAI-198010050rai,KAN,5 | 1980,5,1980,2,2,0.5,1
KAN-198010050rai,RAI,5 | 1980,5,1980,0,4,0.0,0
RAM-198010050ram,SFO,5 | 1980,5,1980,2,2,0.5,1
SFO-198010050ram,RAM,5 | 1980,5,1980,3,1,0.75,0
SDG-198010050sdg,BUF,5 | 1980,5,1980,4,0,1.0,1
BUF-198010050sdg,SDG,5 | 1980,5,1980,4,0,1.0,0
CHI-198010060chi,TAM,5 | 1980,5,1980,1,3,0.25,1
TAM-198010060chi,CHI,5 | 1980,5,1980,2,2,0.5,0
BUF-198010120buf,CLT,6 | 1980,6,1980,5,0,1.0,1
CLT-198010120buf,BUF,6 | 1980,6,1980,3,2,0.6,0
NWE-198010120nwe,MIA,6 | 1980,6,1980,4,1,0.8,1
MIA-198010120nwe,NWE,6 | 1980,6,1980,3,2,0.6,0
NYG-198010120nyg,PHI,6 | 1980,6,1980,1,4,0.2,1
PHI-198010120nyg,NYG,6 | 1980,6,1980,4,1,0.8,0
PIT-198010120pit,CIN,6 | 1980,6,1980,4,1,0.8,1
CIN-198010120pit,PIT,6 | 1980,6,1980,1,4,0.2,0
TAM-198010120tam,GNB,6 | 1980,6,1980,2,3,0.4,1
GNB-198010120tam,TAM,6 | 1980,6,1980,2,3,0.4,0
CRD-198010120crd,RAM,6 | 1980,6,1980,2,3,0.4,1
RAM-198010120crd,CRD,6 | 1980,6,1980,3,2,0.6,0
DAL-198010120dal,SFO,6 | 1980,6,1980,4,1,0.8,1
SFO-198010120dal,DAL,6 | 1980,6,1980,3,2,0.6,0
MIN-198010120min,CHI,6 | 1980,6,1980,2,3,0.4,1
CHI-198010120min,MIN,6 | 1980,6,1980,2,3,0.4,0
ATL-198010120atl,NYJ,6 | 1980,6,1980,3,2,0.6,1
NYJ-198010120atl,ATL,6 | 1980,6,1980,0,5,0.0,0
DET-198010120det,NOR,6 | 1980,6,1980,4,1,0.8,1
NOR-198010120det,DET,6 | 1980,6,1980,0,5,0.0,0
KAN-198010120kan,OTI,6 | 1980,6,1980,1,4,0.2,1
OTI-198010120kan,KAN,6 | 1980,6,1980,3,2,0.6,0
RAI-198010120rai,SDG,6 | 1980,6,1980,2,3,0.4,1
SDG-198010120rai,RAI,6 | 1980,6,1980,4,1,0.8,0
SEA-198010120sea,CLE,6 | 1980,6,1980,3,2,0.6,1
CLE-198010120sea,SEA,6 | 1980,6,1980,2,3,0.4,0
DEN-198010130den,WAS,6 | 1980,6,1980,2,3,0.4,1
WAS-198010130den,DEN,6 | 1980,6,1980,1,4,0.2,0
CIN-198010190cin,MIN,7 | 1980,7,1980,2,4,0.3333333333333333,1
MIN-198010190cin,CIN,7 | 1980,7,1980,3,3,0.5,0
CLE-198010190cle,GNB,7 | 1980,7,1980,3,3,0.5,1
