key,opp_abbr,wy,ppg,opp_ppg,total_yards,opp_total_yards,pass_yards,opp_pass_yards,rush_yards,opp_rush_yards
BUF-198009070buf,MIA,1 | 1980,16.75,17.4375,302.3125,313.1875,225.1875,169.5625,101.3125,155.0625
MIA-198009070buf,BUF,1 | 1980,20.98611111111111,16.86111111111111,307.24305555555554,282.40277777777777,192.30555555555554,192.875,130.8125,108.78472222222223
CIN-198009070cin,TAM,1 | 1980,21.0625,26.3125,289.9375,369.4375,176.3125,244.25,145.5625,138.6875
TAM-198009070cin,CIN,1 | 1980,16.475,14.775,308.25,253.8,165.8125,155.45,147.875,118.5875
CRD-198009070crd,NYG,1 | 1980,19.1875,22.375,324.0,317.3125,179.375,191.6875,161.375,137.75
NYG-198009070crd,CRD,1 | 1980,14.8125,20.1875,235.875,336.125,151.1875,197.125,113.75,153.25
GNB-198009070gnb,CHI,1 | 1980,15.375,19.75,283.875,352.9375,191.0625,190.0625,116.3125,180.3125
CHI-198009070gnb,GNB,1 | 1980,19.1875,16.04861111111111,287.125,281.68055555555554,151.96527777777777,181.06944444444446,151.69444444444446,125.09722222222223
MIN-198009070min,ATL,1 | 1980,16.1875,21.0625,306.4375,326.4375,212.3125,185.3125,110.25,157.875
ATL-198009070min,MIN,1 | 1980,18.75,24.25,308.0625,359.9375,195.4375,237.4375,137.5,135.1875
NOR-198009070nor,SFO,1 | 1980,23.125,22.5,351.6875,345.9375,205.6875,216.0625,154.75,154.3125
SFO-198009070nor,NOR,1 | 1980,19.25,26.0,348.3125,337.0625,235.0,212.9375,120.75,138.3125
NWE-198009070nwe,CLE,1 | 1980,25.6875,20.375,341.875,270.1875,225.0,191.5625,140.75,110.625
CLE-198009070nwe,NWE,1 | 1980,22.4375,22.0,360.75,353.125,239.875,205.5625,142.5625,162.75
PIT-198009070pit,OTI,1 | 1980,25.971590909090907,17.03409090909091,382.6590909090909,266.5,239.79545454545453,185.82954545454544,156.4375,102.14204545454545
OTI-198009070pit,PIT,1 | 1980,21.477777777777778,19.794444444444444,296.15,313.3833333333333,157.9611111111111,204.25,151.68333333333334,135.26111111111112
KAN-198009070kan,RAI,1 | 1980,14.875,16.375,248.5,310.6875,122.0625,212.75,144.75,115.4375
RAI-198009070kan,KAN,1 | 1980,22.8125,21.0625,323.375,342.875,231.5,210.375,110.1875,148.375
NYJ-198009070nyj,CLT,1 | 1980,21.0625,23.9375,327.75,363.8125,179.0,268.0,165.375,106.625
CLT-198009070nyj,NYJ,1 | 1980,16.9375,21.9375,302.875,317.125,223.4375,192.5,104.625,144.125
PHI-198009070phi,DEN,1 | 1980,21.27777777777778,17.944444444444443,309.6111111111111,294.66666666666663,182.5,170.66666666666669,144.88888888888889,142.0
DEN-198009070phi,PHI,1 | 1980,17.47222222222222,15.8125,315.1388888888889,300.15277777777777,209.88194444444446,202.9375,127.0,107.58333333333334
RAM-198009070ram,DET,1 | 1980,19.56818181818182,19.25,327.0738636363636,289.4204545454545,195.29545454545456,188.67045454545456,154.3693181818182,125.02272727272728
DET-198009070ram,RAM,1 | 1980,13.6875,22.8125,250.8125,309.8125,173.4375,174.1875,104.8125,157.1875
SEA-198009070sea,SDG,1 | 1980,23.625,23.25,347.3125,364.625,236.9375,233.6875,122.9375,148.4375
SDG-198009070sea,SEA,1 | 1980,24.979166666666664,15.645833333333332,350.52777777777777,277.65277777777777,263.65277777777777,175.34722222222223,101.02777777777777,121.81944444444444
WAS-198009080was,DAL,1 | 1980,21.75,18.4375,306.5,321.625,177.4375,208.6875,145.5,134.625
