key,opp_abbr,wy,elo,opp_elo,eloYearly,opp_eloYearly,eloSmooth-0.65,opp_eloSmooth-0.65,eloYearlySmooth-0.65,opp_eloYearlySmooth-0.65
BUF-198009070buf,MIA,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
MIA-198009070buf,BUF,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CIN-198009070cin,TAM,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
TAM-198009070cin,CIN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CRD-198009070crd,NYG,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NYG-198009070crd,CRD,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
GNB-198009070gnb,CHI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CHI-198009070gnb,GNB,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
MIN-198009070min,ATL,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
ATL-198009070min,MIN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NOR-198009070nor,SFO,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
SFO-198009070nor,NOR,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NWE-198009070nwe,CLE,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CLE-198009070nwe,NWE,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
PIT-198009070pit,OTI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
OTI-198009070pit,PIT,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
KAN-198009070kan,RAI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
RAI-198009070kan,KAN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NYJ-198009070nyj,CLT,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CLT-198009070nyj,NYJ,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
