key,opp_abbr,wy,p_id,attemptedPasses10_0,attemptedPasses10_1,attemptedPasses10_2,attemptedPasses10_3,attemptedPasses10_4,attemptedPasses10_5,attemptedPasses10_6,attemptedPasses10_7,attemptedPasses10_8,attemptedPasses10_9
BUF-198009070buf,MIA,1 | 1980,FergJo00,31.0,45.0,46.0,33.0,28.0,17.0,26.0,35.0,39.0,21
MIA-198009070buf,BUF,1 | 1980,GrieBo00,26.0,22.0,10.0,17.0,21.0,24.0,26.0,27.0,18.0,12
CIN-198009070cin,TAM,1 | 1980,ThomJa00,12.0,6.0,19.0,1.0,3.0,21.0,20.0,5.0,0.0,0
TAM-198009070cin,CIN,1 | 1980,WillDo01,13.0,15.0,13.0,24.0,19.0,38.0,24.0,34.0,24.0,25
CRD-198009070crd,NYG,1 | 1980,HartJi00,4.0,38.0,31.0,36.0,24.0,21.0,38.0,4.0,38.0,24
NYG-198009070crd,CRD,1 | 1980,SimmPh00,14.0,30.0,15.0,14.0,33.0,32.0,16.0,22.0,26.0,32
GNB-198009070gnb,CHI,1 | 1980,DickLy00,24.0,37.0,33.0,22.0,3.0,0.0,0.0,0.0,0.0,0
CHI-198009070gnb,GNB,1 | 1980,PhipMi00,30.0,33.0,25.0,15.0,28.0,18.0,33.0,26.0,19.0,16
MIN-198009070min,ATL,1 | 1980,KramTo00,61.0,32.0,42.0,26.0,30.0,38.0,49.0,36.0,43.0,48
ATL-198009070min,MIN,1 | 1980,BartSt00,28.0,27.0,30.0,24.0,20.0,26.0,27.0,35.0,29.0,26
NOR-198009070nor,SFO,1 | 1980,MannAr00,15.0,32.0,23.0,31.0,27.0,22.0,26.0,16.0,22.0,14
SFO-198009070nor,NOR,1 | 1980,DebeSt00,54.0,30.0,17.0,34.0,36.0,39.0,42.0,41.0,37.0,48
NWE-198009070nwe,CLE,1 | 1980,GrogSt00,26.0,35.0,39.0,25.0,13.0,13.0,35.0,36.0,24.0,35
CLE-198009070nwe,NWE,1 | 1980,SipeBr00,42.0,29.0,26.0,38.0,42.0,29.0,35.0,28.0,34.0,25
