key,opp_abbr,wy,p_id,careerAvg_completed_passes,careerAvg_attempted_passes,careerAvg_passing_yards,careerAvg_passing_touchdowns,careerAvg_interceptions_thrown,careerAvg_times_sacked,careerAvg_yards_lost_from_sacks,careerAvg_longest_pass,careerAvg_quarterback_rating,careerAvg_rush_attempts,careerAvg_rush_yards,careerAvg_rush_touchdowns,careerAvg_longest_rush,careerAvg_isHome,careerAvg_completion_percentage,careerAvg_td_percentage,careerAvg_interception_percentage,careerAvg_yards_per_attempt,careerAvg_adjusted_yards_per_attempt,careerAvg_yards_per_completion,careerAvg_sack_percentage,careerAvg_net_gained_per_pass_attempt,careerAvg_adjusted_net_yards_per_pass_attempt,careerAvg_rush_yards_per_attempt
BUF-198009070buf,MIA,1 | 1980,FergJo00,12.906,24.625,178.375,0.938,0.938,2.25,19.688,38.219,72.025,1.531,4.5,0.031,2.875,0.5,52.224,4.043,4.046,7.145,6.133,13.423,8.579,5.772,4.857,1.488
MIA-198009070buf,BUF,1 | 1980,GrieBo00,12.926,22.185,154.926,1.0,1.111,1.741,15.074,32.185,76.944,0.778,1.519,0.0,1.704,0.481,59.722,4.583,4.871,7.154,5.877,11.805,6.552,6.127,4.96,0.806
CIN-198009070cin,TAM,1 | 1980,ThomJa00,4.875,10.875,60.125,0.125,0.625,2.0,22.25,20.125,49.05,2.625,14.5,0.625,6.0,0.625,44.102,0.658,8.577,5.011,1.283,9.948,12.115,2.966,-0.464,3.25
TAM-198009070cin,CIN,1 | 1980,WillDo01,8.857,22.107,134.357,0.929,1.214,0.464,4.5,33.321,55.596,2.429,5.75,0.107,4.393,0.536,38.341,4.422,5.836,5.808,4.066,14.911,1.948,5.512,3.84,1.792
CRD-198009070crd,NYG,1 | 1980,HartJi00,14.966,29.483,184.103,0.862,1.31,1.552,12.034,32.931,63.7,0.586,0.759,0.069,0.724,0.483,51.336,3.534,4.399,6.247,4.973,12.183,5.022,5.571,4.312,0.379
NYG-198009070crd,CRD,1 | 1980,SimmPh00,11.167,22.083,145.25,1.083,1.167,3.25,26.583,35.5,67.592,2.417,13.833,0.083,10.167,0.5,50.838,4.768,6.412,6.52,4.588,12.863,13.063,4.597,2.972,5.663
GNB-198009070gnb,CHI,1 | 1980,DickLy00,12.0,23.8,157.4,1.0,0.8,3.0,24.0,29.2,74.56,1.0,2.6,0.0,2.6,0.4,53.916,3.204,2.294,6.35,5.958,12.232,13.432,4.462,4.122,1.534
CHI-198009070gnb,GNB,1 | 1980,PhipMi00,10.053,19.368,112.737,0.579,1.053,1.158,10.526,26.263,62.153,2.158,4.632,0.0,4.053,0.526,52.962,2.541,5.547,5.683,3.696,10.661,6.155,4.726,2.833,2.091
MIN-198009070min,ATL,1 | 1980,KramTo00,16.842,30.632,181.421,1.211,1.316,1.947,13.684,29.0,64.121,1.737,7.789,0.053,5.0,0.579,51.957,3.448,4.581,5.715,4.344,10.985,6.849,4.714,3.44,2.868
ATL-198009070min,MIN,1 | 1980,BartSt00,13.9,26.8,177.733,1.0,1.433,2.833,23.267,35.5,63.21,1.633,3.3,0.133,2.8,0.5,51.093,3.605,5.878,6.577,4.652,12.926,10.319,5.071,3.382,1.443
