key,opp_abbr,wy,p_id,isHome,careerStarts,careerGamesPlayedIn,isRookie,age,pastSeasonStarts,pastSeasonGamesPlayedIn,pastSeasonPasserRating,pastSeason4thComebacks,pastSeasonGameWinningDrives,pastSeasonAwards
BUF-198009070buf,MIA,1 | 1980,FergJo00,1,32,32,0,30,16,16,74.4,2,3,0
MIA-198009070buf,BUF,1 | 1980,GrieBo00,0,21,25,0,35,12,14,72.0,1,1,0
CIN-198009070cin,TAM,1 | 1980,ThomJa00,1,1,9,0,24,1,9,42.4,0,0,0
TAM-198009070cin,CIN,1 | 1980,WillDo01,0,26,26,0,25,16,16,52.5,3,4,0
CRD-198009070crd,NYG,1 | 1980,HartJi00,1,28,29,0,36,13,14,55.2,1,1,0
NYG-198009070crd,CRD,1 | 1980,SimmPh00,0,11,12,0,25,11,12,66.0,0,0,0
GNB-198009070gnb,CHI,1 | 1980,DickLy00,1,3,5,0,31,3,5,71.7,0,0,0
CHI-198009070gnb,GNB,1 | 1980,PhipMi00,0,14,18,0,33,10,12,69.6,2,2,0
MIN-198009070min,ATL,1 | 1980,KramTo00,1,16,20,0,25,16,16,69.3,3,3,0
ATL-198009070min,MIN,1 | 1980,BartSt00,0,27,28,0,28,14,14,67.3,5,4,0
NOR-198009070nor,SFO,1 | 1980,MannAr00,1,32,32,0,31,16,16,75.6,0,0,1
SFO-198009070nor,NOR,1 | 1980,DebeSt00,0,26,28,0,26,15,16,73.1,1,1,0
NWE-198009070nwe,CLE,1 | 1980,GrogSt00,1,32,32,0,27,16,16,77.4,1,1,0
CLE-198009070nwe,NWE,1 | 1980,SipeBr00,0,32,32,0,31,16,16,73.4,5,7,0
PIT-198009070pit,OTI,1 | 1980,BradTe00,1,32,32,0,32,16,16,77.0,4,4,1
OTI-198009070pit,PIT,1 | 1980,StabKe00,0,32,32,0,35,16,16,82.2,1,1,0
KAN-198009070kan,RAI,1 | 1980,FullSt00,1,12,16,0,23,12,16,55.8,0,1,0
RAI-198009070kan,KAN,1 | 1980,PastDa00,0,31,31,0,31,15,15,62.1,2,4,0
NYJ-198009070nyj,CLT,1 | 1980,ToddRi00,1,20,20,0,27,15,15,66.5,0,0,0
CLT-198009070nyj,NYJ,1 | 1980,JoneBe00,0,7,7,0,29,4,4,67.4,2,2,0
PHI-198009070phi,DEN,1 | 1980,JawoRo00,1,32,32,0,29,16,16,76.8,2,2,0
DEN-198009070phi,PHI,1 | 1980,RobiMa01,0,12,31,0,25,1,15,46.6,0,0,0
RAM-198009070ram,DET,1 | 1980,HadePa00,1,26,26,0,27,10,10,68.1,0,0,0
DET-198009070ram,RAM,1 | 1980,DaniGa00,0,11,16,0,29,0,0,0.0,0,0,0
SEA-198009070sea,SDG,1 | 1980,ZornJi00,1,32,32,0,27,16,16,77.7,2,3,0
SDG-198009070sea,SEA,1 | 1980,FoutDa00,0,30,31,0,29,16,16,82.6,1,1,2
WAS-198009080was,DAL,1 | 1980,TheiJo00,1,30,32,0,31,16,16,83.9,3,4,0
DAL-198009080was,WAS,1 | 1980,WhitDa01,0,1,32,0,28,0,16,58.4,0,0,0
TAM-198009110tam,RAM,2 | 1980,WillDo01,1,26,26,0,25,16,16,52.5,3,4,0
RAM-198009110tam,TAM,2 | 1980,FerrVi00,0,5,17,0,26,5,8,49.0,0,0,0
BUF-198009140buf,NYJ,2 | 1980,FergJo00,1,32,32,0,30,16,16,74.4,2,3,0
NYJ-198009140buf,BUF,2 | 1980,ToddRi00,0,20,20,0,27,15,15,66.5,0,0,0
MIN-198009140min,PHI,2 | 1980,KramTo00,1,16,20,0,25,16,16,69.3,3,3,0
PHI-198009140min,MIN,2 | 1980,JawoRo00,0,32,32,0,29,16,16,76.8,2,2,0
NWE-198009140nwe,ATL,2 | 1980,GrogSt00,1,32,32,0,27,16,16,77.4,1,1,0
ATL-198009140nwe,NWE,2 | 1980,BartSt00,0,27,28,0,28,14,14,67.3,5,4,0
CHI-198009140chi,NOR,2 | 1980,PhipMi00,1,14,18,0,33,10,12,69.6,2,2,0
NOR-198009140chi,CHI,2 | 1980,MannAr00,0,32,32,0,31,16,16,75.6,0,0,1
