key,opp_abbr,wy,p_id,seasonAvg_completed_passes,seasonAvg_attempted_passes,seasonAvg_passing_yards,seasonAvg_passing_touchdowns,seasonAvg_interceptions_thrown,seasonAvg_times_sacked,seasonAvg_yards_lost_from_sacks,seasonAvg_longest_pass,seasonAvg_quarterback_rating,seasonAvg_rush_attempts,seasonAvg_rush_yards,seasonAvg_rush_touchdowns,seasonAvg_longest_rush,seasonAvg_isHome,seasonAvg_completion_percentage,seasonAvg_td_percentage,seasonAvg_interception_percentage,seasonAvg_yards_per_attempt,seasonAvg_adjusted_yards_per_attempt,seasonAvg_yards_per_completion,seasonAvg_sack_percentage,seasonAvg_net_gained_per_pass_attempt,seasonAvg_adjusted_net_yards_per_pass_attempt,seasonAvg_rush_yards_per_attempt
BUF-198009070buf,MIA,1 | 1980,FergJo00,14.875,28.625,223.25,0.875,0.938,2.688,24.188,43.75,74.356,1.375,4.25,0.062,3.5,0.5,52.751,3.184,3.38,7.948,7.064,14.652,8.388,6.517,5.744,2.005
MIA-198009070buf,BUF,1 | 1980,GrieBo00,12.667,22.4,151.867,1.0,1.133,1.933,16.133,31.133,72.573,0.8,2.067,0.0,2.267,0.4,58.113,4.425,5.544,6.901,5.29,11.773,7.588,5.773,4.311,1.25
CIN-198009070cin,TAM,1 | 1980,ThomJa00,4.875,10.875,60.125,0.125,0.625,2.0,22.25,20.125,49.05,2.625,14.5,0.625,6.0,0.625,44.102,0.658,8.577,5.011,1.283,9.948,12.115,2.966,-0.464,3.25
TAM-198009070cin,CIN,1 | 1980,WillDo01,9.722,23.611,144.0,1.056,1.444,0.389,3.167,33.889,57.794,2.278,7.667,0.111,5.333,0.556,40.251,5.106,6.46,6.057,4.171,15.058,1.757,5.818,4.035,2.541
CRD-198009070crd,NYG,1 | 1980,HartJi00,13.857,27.0,158.429,0.643,1.429,1.786,13.071,28.571,58.686,0.429,0.786,0.0,0.786,0.429,52.169,3.636,4.956,5.732,4.229,10.991,6.114,4.985,3.471,0.357
NYG-198009070crd,CRD,1 | 1980,SimmPh00,11.167,22.083,145.25,1.083,1.167,3.25,26.583,35.5,67.592,2.417,13.833,0.083,10.167,0.5,50.838,4.768,6.412,6.52,4.588,12.863,13.063,4.597,2.972,5.663
GNB-198009070gnb,CHI,1 | 1980,DickLy00,12.0,23.8,157.4,1.0,0.8,3.0,24.0,29.2,74.56,1.0,2.6,0.0,2.6,0.4,53.916,3.204,2.294,6.35,5.958,12.232,13.432,4.462,4.122,1.534
CHI-198009070gnb,GNB,1 | 1980,PhipMi00,11.308,21.923,129.0,0.692,0.769,1.231,11.154,29.462,67.731,2.154,4.154,0.0,3.308,0.538,52.138,3.001,3.189,6.015,5.18,11.278,6.361,5.009,4.211,1.498
MIN-198009070min,ATL,1 | 1980,KramTo00,19.688,35.375,212.312,1.438,1.5,2.25,15.562,31.938,69.944,2.0,8.625,0.062,5.312,0.5,55.747,4.095,4.398,6.101,4.941,10.889,6.571,5.182,4.139,2.781
ATL-198009070min,MIN,1 | 1980,BartSt00,14.571,27.143,178.929,1.214,1.429,2.786,20.429,32.857,66.379,1.0,2.571,0.143,2.0,0.5,53.448,4.297,5.399,6.461,4.89,12.184,9.676,5.175,3.819,1.077
