key,opp_abbr,wy,p_id,last5_completed_passes,last5_attempted_passes,last5_passing_yards,last5_passing_touchdowns,last5_interceptions_thrown,last5_times_sacked,last5_yards_lost_from_sacks,last5_longest_pass,last5_quarterback_rating,last5_rush_attempts,last5_rush_yards,last5_rush_touchdowns,last5_longest_rush,last5_isHome,last5_completion_percentage,last5_td_percentage,last5_interception_percentage,last5_yards_per_attempt,last5_adjusted_yards_per_attempt,last5_yards_per_completion,last5_sack_percentage,last5_net_gained_per_pass_attempt,last5_adjusted_net_yards_per_pass_attempt,last5_rush_yards_per_attempt
BUF-198009070buf,MIA,1 | 1980,FergJo00,18.0,36.6,221.4,0.2,1.4,2.4,26.2,39.0,54.580000000000005,1.8,4.4,0.0,3.4,0.4,49.282,0.606,3.824,6.0840000000000005,4.484,12.156,6.034,5.058,3.5700000000000003,1.95
MIA-198009070buf,BUF,1 | 1980,GrieBo00,11.6,19.2,138.2,1.2,0.8,2.2,16.8,34.0,93.56,1.2,3.8,0.0,4.4,0.2,62.336,6.94,3.5840000000000005,7.611999999999999,7.386,12.047999999999998,8.788,6.254,6.050000000000001,1.55
CIN-198009070cin,TAM,1 | 1980,ThomJa00,3.8,8.2,38.6,0.2,0.6,1.0,9.4,12.2,53.25999999999999,2.4,10.8,0.4,4.2,0.6,45.088,1.052,8.772,4.504,0.766,7.853999999999999,8.441999999999998,3.1420000000000003,-0.524,2.3
TAM-198009070cin,CIN,1 | 1980,WillDo01,5.8,16.8,84.4,0.4,2.6,0.8,7.0,27.0,26.26,2.8,9.6,0.0,4.4,0.8,33.7,2.168,14.324000000000002,4.752000000000001,-1.262,12.752,4.132,4.232000000000001,-1.432,2.148
CRD-198009070crd,NYG,1 | 1980,HartJi00,14.8,26.6,169.4,1.2,1.4,1.2,8.4,30.0,71.16,0.2,-0.2,0.0,-0.2,0.2,54.918000000000006,7.968000000000001,4.384,5.704,5.324,10.27,6.752,4.924,4.37,-0.2
NYG-198009070crd,CRD,1 | 1980,SimmPh00,11.6,21.2,132.4,0.8,1.8,4.0,33.2,29.2,58.04,2.4,10.2,0.0,6.8,0.4,54.304,3.428,10.354,6.367999999999999,2.394,11.658,16.52,3.998,0.7140000000000001,3.984
GNB-198009070gnb,CHI,1 | 1980,DickLy00,12.0,23.8,157.4,1.0,0.8,3.0,24.0,29.2,74.55999999999999,1.0,2.6,0.0,2.6,0.4,53.916,3.204,2.294,6.35,5.958,12.232,13.432,4.462000000000001,4.122,1.534
CHI-198009070gnb,GNB,1 | 1980,PhipMi00,12.0,26.2,127.0,0.6,1.4,1.2,9.2,24.6,47.74,0.8,1.0,0.0,1.0,0.2,44.862,2.5460000000000003,4.773999999999999,4.472,2.836,9.760000000000002,4.602,3.944,2.3839999999999995,1.0
MIN-198009070min,ATL,1 | 1980,KramTo00,19.4,38.2,200.4,1.6,1.0,1.2,8.6,24.8,70.96000000000001,3.2,14.2,0.0,9.0,0.4,49.848,4.688000000000001,2.38,5.19,5.056,10.356,2.774,4.796,4.7,4.232
ATL-198009070min,MIN,1 | 1980,BartSt00,14.2,25.8,153.0,1.0,1.6,3.6,24.8,24.8,57.82000000000001,1.4,2.8,0.0,1.4,0.6,54.544,3.714,6.242,5.746,3.68,10.506,12.312,4.223999999999999,2.476,0.65
NOR-198009070nor,SFO,1 | 1980,MannAr00,15.2,25.6,206.6,1.0,0.8,1.6,13.8,37.2,90.28,2.8,18.0,0.2,13.4,0.4,60.114,4.459999999999999,4.87,8.346,7.044,14.108,6.558,7.196000000000001,6.064,9.504
SFO-198009070nor,NOR,1 | 1980,DebeSt00,20.6,34.2,211.8,1.0,0.8,0.8,4.6,30.2,79.35999999999999,2.2,-0.2,0.0,1.6,0.6,61.81199999999999,3.1700000000000004,2.722,6.3740000000000006,5.784000000000001,10.332,2.122,6.102000000000001,5.529999999999999,-0.0839999999999999
NWE-198009070nwe,CLE,1 | 1980,GrogSt00,13.0,27.6,218.8,1.8,1.4,2.8,18.2,44.6,82.5,3.4,15.0,0.2,10.2,0.6,48.08,7.294,4.996,8.102,7.314,16.908,8.670000000000002,6.864,6.176,4.840000000000001
CLE-198009070nwe,NWE,1 | 1980,SipeBr00,18.6,35.4,250.8,1.6,1.0,4.0,30.0,37.0,75.7,3.2,26.2,0.0,16.4,0.4,52.238,4.252,3.152,6.970000000000001,6.4,13.222,10.656,5.427999999999999,4.968,8.58
PIT-198009070pit,OTI,1 | 1980,BradTe00,16.2,27.6,240.8,1.6,1.6,1.6,11.8,37.4,84.35999999999999,1.4,12.8,0.0,12.2,0.8,58.908,5.958,6.386,9.068,7.388,15.410000000000002,5.032,8.309999999999999,6.686,10.6
OTI-198009070pit,PIT,1 | 1980,StabKe00,24.6,39.4,268.4,2.0,1.6,1.8,14.4,41.0,82.14,0.8,1.6,0.0,2.2,0.6,62.24,4.91,3.9739999999999993,6.816,6.0120000000000005,11.034,4.048,6.206,5.426,0.8
KAN-198009070kan,RAI,1 | 1980,FullSt00,10.6,18.8,107.8,0.4,0.4,1.6,10.0,26.6,69.3,4.6,28.8,0.0,17.2,0.2,57.336,1.7799999999999998,2.448,5.694,4.948,9.966,7.736,4.8100000000000005,4.228,6.609999999999999
RAI-198009070kan,KAN,1 | 1980,PastDa00,12.0,21.4,148.0,0.4,1.0,1.0,8.4,38.2,69.32000000000001,0.4,0.6,0.0,0.6,0.6,55.282,2.678,5.33,7.302,5.442,13.35,4.876,6.511999999999999,4.747999999999999,0.6
NYJ-198009070nyj,CLT,1 | 1980,ToddRi00,13.6,27.0,203.4,1.0,1.2,1.6,13.6,40.2,72.32000000000001,3.6,12.8,0.6,9.6,0.4,50.604,4.162,5.164,7.744,6.252,15.382,5.606,6.85,5.41,6.006
CLT-198009070nyj,NYJ,1 | 1980,JoneBe00,11.0,21.8,154.2,0.8,0.6,2.4,16.8,39.8,78.56000000000002,2.2,9.6,0.2,8.6,0.4,49.894000000000005,4.459999999999999,2.236,7.044,6.93,15.192000000000002,10.238,5.612,5.476,4.366
PHI-198009070phi,DEN,1 | 1980,JawoRo00,13.2,28.4,203.0,1.6,0.4,1.6,15.2,41.6,87.47999999999999,1.4,5.2,0.2,5.2,0.6,48.95,5.929999999999999,1.4259999999999995,7.572,8.117999999999999,15.422,5.424,6.617999999999999,7.113999999999999,2.334
DEN-198009070phi,PHI,1 | 1980,RobiMa01,14.2,29.4,205.0,1.4,2.4,3.6,26.4,38.2,57.36,2.8,-2.6,0.2,3.2,0.6,47.536,5.07,8.242,7.316,4.624,15.764,11.152,5.726,3.345999999999999,-0.8019999999999999
RAM-198009070ram,DET,1 | 1980,HadePa00,15.0,27.4,200.0,1.6,2.0,2.6,23.0,36.6,72.53999999999999,1.0,6.6,0.0,5.2,0.4,55.476,6.112,6.656000000000001,7.25,5.478,13.408,8.491999999999999,5.896,4.304,4.9
DET-198009070ram,RAM,1 | 1980,DaniGa00,16.2,28.0,206.0,1.6,2.0,2.2,18.8,33.2,70.91999999999999,2.0,7.0,0.0,7.4,0.6,57.05400000000001,5.104,7.245999999999999,7.174,4.932,12.482,7.134,6.13,4.146000000000001,6.7
SEA-198009070sea,SDG,1 | 1980,ZornJi00,23.2,36.8,306.0,2.2,1.2,0.6,5.2,45.4,100.42,2.6,9.2,0.0,8.0,0.6,64.37199999999999,6.467999999999999,2.932,8.546,8.52,13.182,1.576,8.251999999999999,8.212,4.316
SDG-198009070sea,SEA,1 | 1980,FoutDa00,22.8,35.8,300.8,1.2,2.0,2.2,17.4,35.4,83.82,2.0,9.8,0.2,6.6,0.8,64.838,3.496,5.202,8.66,7.017999999999999,13.352,6.108,7.593999999999999,5.967999999999999,1.96
WAS-198009080was,DAL,1 | 1980,TheiJo00,16.4,27.6,220.4,2.0,0.6,2.6,18.4,41.4,99.1,2.0,13.4,0.2,8.6,0.6,58.382000000000005,6.897999999999999,1.764,7.956,8.542,13.692000000000002,9.146,6.5920000000000005,7.109999999999999,7.540000000000001
DAL-198009080was,WAS,1 | 1980,WhitDa01,0.2,0.2,2.0,0.0,0.0,0.0,0.0,2.0,21.66,0.0,0.0,0.0,0.0,0.8,20.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
TAM-198009110tam,RAM,2 | 1980,WillDo01,7.0,17.2,103.4,0.8,1.8,0.4,3.2,30.2,47.760000000000005,4.0,16.0,0.0,5.8,0.6,38.912,4.072,10.114,5.596,1.86,13.169999999999998,2.228,5.318,1.75,2.376
RAM-198009110tam,TAM,2 | 1980,FerrVi00,10.8,20.0,158.0,0.6,1.0,2.0,21.0,35.4,74.14,0.6,1.0,0.0,1.0,0.4,57.776,2.858,4.242,8.178,6.837999999999999,14.78,7.167999999999999,6.884,5.702,1.0
BUF-198009140buf,NYJ,2 | 1980,FergJo00,18.6,37.4,215.8,0.4,2.4,2.2,23.6,35.6,47.48,2.2,7.8,0.0,5.8,0.4,49.64,1.23,6.948,5.708,2.826,11.477999999999998,5.343999999999999,4.828,2.0580000000000003,2.85
NYJ-198009140buf,BUF,2 | 1980,ToddRi00,12.8,27.4,203.0,0.8,1.6,1.4,11.8,46.0,64.6,3.0,12.4,0.6,9.8,0.6,46.566,3.3280000000000003,6.574000000000001,7.598000000000001,5.305999999999999,16.324,4.808,6.852000000000001,4.6160000000000005,6.166
MIN-198009140min,PHI,2 | 1980,KramTo00,22.6,40.6,252.4,2.2,1.2,1.6,10.6,28.0,81.96000000000001,3.2,15.6,0.0,10.4,0.4,54.8,6.1160000000000005,2.8560000000000003,6.17,6.108,11.062,3.4620000000000006,5.664,5.636,5.632
PHI-198009140min,MIN,2 | 1980,JawoRo00,14.0,29.4,212.6,1.8,0.4,1.2,12.0,45.4,89.32,1.4,5.2,0.2,5.2,0.6,49.634,6.332,1.4259999999999995,7.553999999999999,8.18,15.216,3.824,6.890000000000001,7.494,2.334
NWE-198009140nwe,ATL,2 | 1980,GrogSt00,14.8,30.2,247.6,2.0,1.6,2.8,19.6,49.2,80.05999999999999,3.4,15.8,0.2,11.8,0.6,48.848,6.525999999999999,5.766,8.186,6.897999999999999,16.842000000000002,7.982000000000002,6.992,5.844,5.108
