p_id,name,year,age,gamesPlayedIn,gamesStarted,field_goals_attempted_0-19,field_goals_made_0-19,field_goals_attempted_20-29,field_goals_made_20-29,field_goals_attempted_30-39,field_goals_made_30-39,field_goals_attempted_40-49,field_goals_made_40-49,field_goals_attempted_50+,field_goals_made_50+,field_goals_long,awards
odononei02,Neil O'Donoghue,1978,25,15,15,0,0,6,6,6,2,10,5,1,0,47,None
daneljoe01,Joe Danelo,1978,25,16,16,0,0,12,9,8,5,6,5,3,2,52,None
steinfre01,Fred Steinfort,1978,26,6,6,0,0,1,1,5,1,4,1,0,0,48,None
fritston01,Toni Fritsch,1978,33,16,16,2,2,3,2,9,7,4,3,0,0,49,None
DempTo20,Tom Dempsey,1978,31,16,16,0,0,5,5,5,4,3,1,0,0,46,None
GereRo20,Roy Gerela,1978,30,16,16,1,1,6,5,9,3,8,3,2,0,44,None
bahrxchr01,Chris Bahr,1978,25,16,16,0,0,7,5,8,4,12,6,3,1,52,None
stenejan01,Jan Stenerud,1978,36,16,16,1,1,10,8,9,6,7,5,3,0,47,None
cockrdon01,Don Cockroft,1978,33,16,16,2,1,7,6,5,2,12,10,2,0,45,None
werscray01,Ray Wersching,1978,28,16,16,2,2,5,5,10,4,5,4,1,0,45,None
ricarben01,Benny Ricardo,1978,24,16,16,3,3,7,7,8,6,9,4,1,0,48,None
marcoche01,Chester Marcol,1978,29,16,16,2,2,5,3,5,2,6,4,1,0,48,None
SzarRi20,Rich Szaro,1978,30,4,4,0,0,2,2,2,2,2,0,0,0,37,None
danmeric01,Rick Danmeier,1978,26,16,16,1,1,5,4,5,3,8,4,0,0,47,None
woodxmik01,Mike Wood,1978,24,15,15,0,0,0,0,0,0,0,0,0,0,0,None
smithjoh01,John Smith,1978,29,3,3,0,0,1,1,0,0,0,0,0,0,24,None
moselmar01,Mark Moseley,1978,30,16,16,0,0,4,4,7,5,13,8,6,2,52,None
leahypat01,Pat Leahy,1978,27,16,16,2,2,5,5,12,9,9,6,2,0,47,AP
yepregar01,Garo Yepremian,1978,34,16,16,0,0,5,4,11,10,7,5,0,0,49,PB
MikeNi20,Nick Mike-Mayer,1978,28,12,12,0,0,5,5,7,3,4,0,1,0,39,None
corrafra01,Frank Corral,1978,23,16,16,2,2,15,13,12,8,13,6,1,0,48,PB
thomabob01,Bob Thomas,1978,26,16,16,0,0,7,7,11,9,4,1,0,0,44,None
BakkJi20,Jim Bakken,1978,38,16,16,0,0,5,4,7,4,10,3,0,0,45,None
littlste01,Steve Little,1978,22,11,11,0,0,0,0,0,0,0,0,0,0,0,None
TurnJi22,Jim Turner,1978,37,16,16,1,1,4,3,7,3,8,4,2,0,45,None
