p_id,completed_passes,attempted_passes,passing_yards,passing_touchdowns,interceptions_thrown,times_sacked,yards_lost_from_sacks,longest_pass,quarterback_rating,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,interceptions,yards_returned_from_interception,interceptions_returned_for_touchdown,longest_interception_return,passes_defended,sacks,combined_tackles,solo_tackles,assists_on_tackles,tackles_for_loss,quarterback_hits,fumbles_recovered,yards_recovered_from_fumble,fumbles_recovered_for_touchdown,fumbles_forced,kickoff_returns,kickoff_return_yards,average_kickoff_return_yards,kickoff_return_touchdown,longest_kickoff_return,punt_returns,punt_return_yards,yards_per_punt_return,punt_return_touchdown,longest_punt_return,extra_points_made,extra_points_attempted,field_goals_made,field_goals_attempted,punts,total_punt_yards,yards_per_punt,longest_punt,abbr,game_key,isHome,wy,position
MullGe21,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT,197809030buf,False,1 | 1978,OL
WheeDw20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NWE,197809030nwe,True,1 | 1978,OL
VanDBo21,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CLT,197809100clt,True,2 | 1978,OL
DownWa20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,13,13.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197809100sfo,True,2 | 1978,OL
MorrDo22,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,6,6.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CLT,197809240buf,False,4 | 1978,OL
MaceDo20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,6,6.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SDG,197809240sdg,True,4 | 1978,OL
MasoLi20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,12,12.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,RAI,197809240rai,True,4 | 1978,OL
HughEr20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,4,4.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197810080ram,False,6 | 1978,OL
SampGr20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,-4,0,-4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,OTI,197810150oti,True,7 | 1978,OL
HughEr20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,33,16.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197810150sfo,True,7 | 1978,OL
QuilFr00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,8,8.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197810150sfo,True,7 | 1978,OL
RomaJo20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,-2,0,-2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NYJ,197810290nwe,False,9 | 1978,OL
LawlBu20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,10,10.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DAL,197811050mia,False,10 | 1978,OL
SmitDo01,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,8,8.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,RAM,197811120ram,True,11 | 1978,OL
HughEr20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,16,16.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197811190sfo,True,12 | 1978,OL
SlatMa20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,3,3.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SDG,197811260kan,False,13 | 1978,OL
JackRo21,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,19,19.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CLE,197812030sea,False,14 | 1978,OL
DownWa20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO,197812100sfo,True,15 | 1978,OL
MaucCa20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,OTI,197812240mia,False,17 | 1978,OL
GrayLe00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NWE,197812310nwe,True,18 | 1978,OL
