p_id,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,abbr,game_key,isHome,wy,position
GileJi00,1,-1,0,-1,0,5,57,0,23,0,0,TAM,197809020tam,True,1 | 1978,TE
ObraJi00,0,0,0,0,0,0,0,0,0,0,0,TAM,197809020tam,True,1 | 1978,TE
MitcJi00,0,0,0,0,0,1,6,0,6,0,0,ATL,197809030atl,True,1 | 1978,TE
CastRi00,0,0,0,0,0,5,44,1,18,0,0,OTI,197809030atl,False,1 | 1978,TE
GantRe00,0,0,0,0,0,3,31,1,17,0,0,BUF,197809030buf,True,1 | 1978,TE
CunnBe00,0,0,0,0,0,3,70,0,27,0,0,PIT,197809030buf,False,1 | 1978,TE
WalkRi00,0,0,0,0,0,1,28,0,28,0,0,CIN,197809030cin,True,1 | 1978,TE
CorbJa00,0,0,0,0,0,1,17,0,17,0,0,CIN,197809030cin,True,1 | 1978,TE
WhitWa00,0,0,0,0,0,6,57,0,12,0,0,KAN,197809030cin,False,1 | 1978,TE
SamuTo00,0,0,0,0,0,1,2,0,2,0,0,KAN,197809030cin,False,1 | 1978,TE
NewsOz00,1,33,1,33,0,1,6,0,6,0,0,CLE,197809030cle,True,1 | 1978,TE
MacAKe21,0,0,0,0,0,3,22,1,10,0,0,SFO,197809030cle,False,1 | 1978,TE
HillDa01,0,0,0,0,0,5,64,0,17,0,0,DET,197809030det,True,1 | 1978,TE
ChilHe00,0,0,0,0,0,2,59,0,52,0,0,NOR,197809030nor,True,1 | 1978,TE
TuckBo00,0,0,0,0,0,4,49,0,16,0,0,MIN,197809030nor,False,1 | 1978,TE
HassDo00,0,0,0,0,0,1,17,0,17,0,0,NWE,197809030nwe,True,1 | 1978,TE
BarkJe00,0,0,0,0,0,1,19,0,19,0,0,NYJ,197809030nyj,True,1 | 1978,TE
ShulMi00,0,0,0,0,0,1,1,1,1,0,0,NYJ,197809030nyj,True,1 | 1978,TE
HardBr00,0,0,0,0,0,2,17,0,15,0,0,MIA,197809030nyj,False,1 | 1978,TE
McCrLo00,0,0,0,0,0,1,10,1,10,0,0,MIA,197809030nyj,False,1 | 1978,TE
TillAn00,0,0,0,0,0,1,9,0,9,0,0,MIA,197809030nyj,False,1 | 1978,TE
KrepKe00,0,0,0,0,0,2,11,0,8,0,0,PHI,197809030phi,True,1 | 1978,TE
YounCh00,0,0,0,0,0,2,13,0,8,0,0,RAM,197809030phi,False,1 | 1978,TE
NelsTe00,0,0,0,0,0,2,12,0,8,0,0,RAM,197809030phi,False,1 | 1978,TE
LattGr00,0,0,0,0,0,2,15,0,10,0,0,CHI,197809030chi,True,1 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197809030chi,True,1 | 1978,TE
RamsEa00,0,0,0,0,0,1,1,1,1,0,0,CRD,197809030chi,False,1 | 1978,TE
OdomRi00,0,0,0,0,0,1,6,0,6,0,0,DEN,197809030den,True,1 | 1978,TE
CaspDa00,0,0,0,0,0,2,35,0,18,0,0,RAI,197809030den,False,1 | 1978,TE
HowaRo00,0,0,0,0,0,2,26,0,20,0,0,SEA,197809030sea,True,1 | 1978,TE
