position,size,simplePosition
DB,5271,DB
WR,4407,WR
LB,3950,LB
RB,3481,RB
DE,2307,DL
TE,2240,TE
DT,1819,DL
QB,1688,QB
CB,914,DB
K,793,K
P,741,P
T,562,OL
FB,431,RB
OLB,422,LB
C,394,OL
G,365,OL
DE-DT,320,DL
S,280,DB
DT-DE,257,DL
ILB,229,LB
DL,219,DL
FS,188,DB
G-T,164,OL
SS,158,DB
T-G,158,OL
OT,123,OL
C-G,120,OL
DE-LB,109,DL
DT-NT,107,DL
LB-DE,107,LB
G-C,102,OL
NT,99,DL
LS,96,LS
NT-DT,90,DL
DE-NT,61,DL
OG,56,OL
RB-WR,48,RB
OL,45,OL
TE-WR,40,TE
DE-DT-NT,36,DL
NT-DE,32,DL
DB-WR,29,DB
DT-NT-DE,29,DL
EDGE,27,LB
NT-DE-DT,27,DL
TE-C,27,TE
DE-NT-DT,20,DL
NT-DT-DE,20,DL
WR-RB,20,WR
DB-LB,19,DB
G-C-T,19,OL
TE-FB,19,TE
RB-TE,18,RB
C-T-G,16,OL
DT-DE-NT,16,DL
C-G-T,15,OL
TE-RB,14,TE
LB-DB,12,LB
C-T,10,OL
DE-DT-LB,10,DL
FB-LB,10,RB
G-T-C,10,OL
QB-P,10,QB
T-G-TE,8,OL
WR-DB,8,WR
DE-C,7,DL
FB-TE,7,RB
LB-DT-NT,7,LB
LB-TE,7,LB
P-K,7,P
T-G-C,7,OL
DB-RB,6,DB
LG,6,OL
TE-LB,6,TE
WR-PR,6,WR
T-C-G,5,OL
WR-TE,5,WR
C-TE,4,OL
DB-QB,4,DB
DE-LB-DT-NT,4,DL
DE-T,4,DL
LB-DT,4,LB
LB-TE-DE,4,LB
QB/TE,4,TE
T-TE,4,OL
WR-FL,4,WR
WR-QB,4,WR
73G,3,OL
DT-G-C-T,3,DL
DT-NT-G-C,3,DL
FB-RB-TB-TE,3,RB
LT,3,OL
NT-DT-LB-DE,3,DL
QB-WR,3,QB
T-DE-DT,3,OL
T-TE-G,3,OL
TE-WR-QB,3,TE
2G,2,OL
DE-DT-G,2,DL
DE-DT-NT-DE,2,DL
DE-DT-NT-LB,2,DL
DE-DT-TE,2,DL
DT-DE-LB,2,DL
DT-LB-DE,2,DL
E,2,LB
G-T-DE,2,OL
G-T-TE,2,OL
HB,2,RB
LB-RB,2,LB
LB-RB-TE,2,LB
P-TE,2,P
RB-DB,2,RB
RB-FB,2,RB
RB-TE-LB,2,RB
RB-TE-WR,2,RB
RB-WR-DB,2,RB
RT,2,OL
SAF,2,DB
T-C-DT,2,OL
T-DE,2,OL
TE-P,2,TE
TE-RB-WR,2,TE
WR-HB,2,WR
WR-P,2,WR
WR-QB-DB,2,WR
WR-QB-RB,2,WR
WR-SE,2,WR
1G,1,OL
1TD,1,RB
28G,1,OL
6G,1,OL
7G,1,OL
DE-TE,1,DL
DT-DE-T-C,1,DL
DT-G,1,DL
DT-NT-G,1,DL
G-C-T-DE,1,OL
G-DT,1,OL
G-T-DT,1,OL
K-P,1,K
LB-C,1,LB
LB-FB,1,LB
NT-DE-LB,1,DL
NT-G,1,DL
NT-G-DE-DT,1,DL
P-QB,1,P
P-RB,1,P
QB-HB,1,QB
RG,1,OL
T-C,1,OL
T-DT,1,OL
T-DT-DE,1,OL
TE-DE,1,TE
TE-T,1,TE
TE-TB,1,TE
WB-DB,1,DB
