p_id,name,year,age,gamesPlayedIn,gamesStarted,rec_first_downs,rush_first_downs,awards
GileJi00,Jimmie Giles,1978,24,16,10,,,None
ObraJi00,Jim Obradovich,1978,25,16,9,,,None
MitcJi00,Jim Mitchell,1978,31,16,16,,,None
CastRi00,Rich Caster,1978,30,14,6,,,None
GantRe00,Reuben Gant,1978,26,16,16,,,None
CunnBe00,Bennie Cunningham,1978,24,6,6,,,None
WalkRi00,Rick Walker,1978,23,15,3,,,None
CorbJa00,Jim Corbett,1978,23,16,5,,,None
WhitWa00,Walter White,1978,27,16,16,,,None
SamuTo00,Tony Samuels,1978,24,16,0,,,None
NewsOz00,Ozzie Newsome,1978,22,16,16,,,None
MacAKe21,Ken MacAfee,1978,22,13,13,,,None
HillDa01,David Hill,1978,24,16,16,,,PB
ChilHe00,Henry Childs,1978,27,16,16,,,None
TuckBo00,Bob Tucker,1978,33,16,16,,,None
HassDo00,Don Hasselbeck,1978,23,16,4,,,None
BarkJe00,Jerome Barkum,1978,28,16,16,,,None
ShulMi00,Mickey Shuler,1978,22,16,1,,,None
HardBr00,Bruce Hardy,1978,22,16,0,,,None
McCrLo00,Loaird McCreary,1978,25,16,1,,,None
TillAn00,Andre Tillman,1978,26,16,16,,,None
KrepKe00,Keith Krepfle,1978,26,10,10,,,None
YounCh00,Charle Young,1978,27,16,3,,,None
NelsTe00,Terry Nelson,1978,27,13,13,,,None
LattGr00,Greg Latta,1978,26,16,16,,,None
ParsBo00,Bob Parsons,1978,28,16,0,,,None
RamsEa00,Eason Ramson,1978,22,15,7,,,None
OdomRi00,Riley Odoms,1978,28,16,16,,,PB
CaspDa00,Dave Casper,1978,26,16,16,,,PB-AP
HowaRo00,Ron Howard,1978,27,16,11,,,None
SawyJo00,John Sawyer,1978,25,11,5,,,None
KleiBo00,Bob Klein,1978,31,16,16,,,None
DuprBi00,Billy Joe DuPree,1978,28,16,16,,,PB
SaldJa00,Jay Saldi,1978,24,4,1,,,None
McCaRe00,Reese McCall,1978,22,16,3,,,None
McGeRi00,Rich McGeorge,1978,30,16,16,,,None
HardLa00,Larry Hardy,1978,22,16,1,,,None
ShirGa00,Gary Shirk,1978,28,16,7,,,None
DixoAl00,Al Dixon,1978,24,15,11,,,None
GrosRa00,Randy Grossman,1978,26,16,10,,,None
FugeJe00,Jean Fugett,1978,27,14,12,,,None
ThaxJi00,Jim Thaxton,1978,29,5,0,,,None
FranRu00,Russ Francis,1978,25,15,15,,,PB
BeckEd00,Ed Beckman,1978,23,16,0,,,None
BarbMi01,Mike Barber,1978,25,16,16,,,None
AlstMa00,Mack Alston,1978,31,16,13,,,None
CurrPa00,Pat Curran,1978,33,14,0,,,None
ChesRa00,Raymond Chester,1978,30,16,0,,,None
EarlRo00,Robin Earl,1978,23,16,0,,,None
EgloRo00,Ron Egloff,1978,23,8,0,,,None
ParrGa00,Gary Parris,1978,28,16,0,,,None
HaynRe00,Reggie Haynes,1978,24,14,4,,,None
OsboRi00,Richard Osborne,1978,25,16,6,,,None
SealPa00,Paul Seal,1978,26,14,4,,,None
RamsDe00,Derrick Ramsey,1978,22,16,0,,,None
VoigSt00,Stu Voigt,1978,30,15,0,,,None
CraiSt00,Steve Craig,1978,27,16,0,,,None
ChanAl00,Al Chandler,1978,28,15,8,,,None
PeetBr00,Brian Peets,1978,22,8,0,,,None
CobbMi00,Mike Cobb,1978,23,13,0,,,None
McCrGr00,Greg McCrary,1978,26,13,1,,,None
MoorEm00,Emery Moorehead,1978,24,10,0,,,None
WrigJa00,James Wright,1978,22,15,0,,,None
RuckCo20,Conrad Rucker,1978,24,13,0,,,None
GileJi00,Jimmie Giles,1979,25,16,16,,,None
ObraJi00,Jim Obradovich,1979,26,16,2,,,None
HillDa01,David Hill,1979,25,16,15,,,PB
GantRe00,Reuben Gant,1979,27,14,14,,,None
HardBr00,Bruce Hardy,1979,23,16,14,,,None
TuckBo00,Bob Tucker,1979,34,16,15,,,None
SealPa00,Paul Seal,1979,27,15,3,,,None
MacAKe21,Ken MacAfee,1979,23,16,12,,,None
