p_id,name,position
WilsOt00,Otis Wilson,LB
CraiSt00,Steve Craig,TE
MattCl00,Clay Matthews,LB
TyleMa20,Maurice Tyler,DB
ValeZa20,Zack Valentine,LB
CarrEa20,Earl Carr,RB
SchoBr20,Bruce Scholtz,LB
BurrJi20,Jim Burroughs,DB
BurkSc20,Scott Burk,DB
LiviMi00,Mike Livingston,QB
HestRo20,Ron Hester,LB
BattBo20,Bobby Batton,RB
ThreBr20,Bruce Threadgill,DB-QB
BoliRu20,Russ Bolinger,G-T
BrooBi01,Billy Brooks,WR
GaulWi00,Willie Gault,WR
KeywJo00,Jon Keyworth,RB
WintCh20,Chet Winters,RB
WebsCo21,Cornell Webster,DB
McPhMi20,Miles McPherson,DB
McCuLa00,Lawrence McCutcheon,RB
GreeJa01,Jacob Green,DE
SmitPa01,Paul Smith,DT-DE
TautTe20,Terry Tautolo,LB
PearDr00,Drew Pearson,WR
JackGe20,Gerald Jackson,DB
WillKe22,Kevin Williams,WR
SoweRo20,Robert Sowell,DB
JohnGr22,Gregg Johnson,DB
ReesAr20,Archie Reese,DE-NT-DT
KurnHo20,Howard Kurnick,LB
DixoHa00,Hanford Dixon,DB
LairBr00,Bruce Laird,DB
HawkMi22,Mike Hawkins,LB
HumiMi20,Mike Humiston,LB
SydnWi20,Willie Sydnor,WR
GaisBl20,Blane Gaison,DB
PoexJo20,Johnnie Poe,DB
BussDe00,Dexter Bussey,RB
LeexMa20,Mark Lee,DB
HancAn00,Anthony Hancock,WR
WinsDi20,Dirt Winston,LB
HickTo20,Tom Hicks,LB
JackCl20,Cleveland Jackson,TE
SquiJa20,Jack Squirek,LB
LomaNe00,Neil Lomax,QB
JohnBu00,Butch Johnson,WR
AustCl00,Cliff Austin,RB
PaytWa00,Walter Payton,RB
SamuTo00,Tony Samuels,TE
DixoAl00,Al Dixon,TE
WhitDw00,Dwight White,DE
LoveRa00,Randy Love,RB
BunzDa20,Dan Bunz,LB
StieDa00,Dave Stief,WR-DB
KinaTe00,Terry Kinard,DB
HarrM.00,M.L. Harris,TE
MoseRi00,Rick Moser,RB
RashAh00,Ahmad Rashad,WR
WhitWa00,Walter White,TE
ColeLa20,Larry Cole,DE-DT
MarsJa20,James Marshall,DB
JackRi01,Rickey Jackson,LB-DE
RhonEa20,Earnest Rhone,LB
WillVi00,Vince Williams,RB
KayxBi20,Bill Kay,DB
WoolRo20,Rolly Woolsey,DB
MangDi20,Dino Mangiero,NT-DE
MoorJe01,Jeff Moore,RB
HensLu20,Luther Henson,NT
SoloFr01,Freddie Solomon,WR-QB-RB
YounRi00,Rickey Young,RB
McDaLe20,LeCharls McDaniel,DB
TaylLa00,Lawrence Taylor,LB
RoquDu20,Durwood Roquemore,DB
JeffJo00,John Jefferson,WR
JohnPa01,Paul Johns,WR
KilmBi00,Billy Kilmer,QB-HB
LewiLe00,Leo Lewis,WR
HickBr21,Bryan Hicks,DB
FergVa00,Vagas Ferguson,RB
EspoMi00,Mike Esposito,RB
WhitAr00,Arthur Whittington,RB
BethEl00,Elvin Bethea,DE
MeisGr20,Greg Meisner,NT-DE
OwenTi00,Tinker Owens,WR
SchwDo20,Don Schwartz,DB
FranGe00,George Franklin,RB
MoseHa00,Haven Moses,WR-SE
BohaFr20,Fred Bohannon,DB
AlleMa00,Marcus Allen,RB
GissAn20,Andrew Gissinger,T
WillWa22,Walt Williams,DB
FoleTi00,Tim Foley,DB
PaigSt00,Stephone Paige,WR
EvanRe00,Reggie Evans,RB
DennDo00,Doug Dennison,RB
HagiIs00,Isaac Hagins,WR
ParrGa00,Gary Parris,TE
CampRe20,Reggie Camp,DE
WrigKe00,Keith Wright,WR
HopkWe00,Wes Hopkins,DB
SmitTi01,Tim Smith,WR
ScotMa00,Malcolm Scott,TE
HillRo20,Rod Hill,DB
ChatCl20,Cliff Chatman,RB
AndeAn20,Anthony Anderson,RB
