abbr,wy,qb,qb_not_full_game,rb1,rb2,wr1,wr2,wr3
TAM,1 | 1978,HuffGa00,0,BellRi01,DaviJo01,GileJi00,OwenMo00,HagiIs00
NYG,1 | 1978,PisaJo00,1,KotaDo00,HammBo00,PerkJo00,RobiJi00,daneljoe01
ATL,1 | 1978,JoneJu00,0,BeanBu00,StanHa00,JenkAl00,FranWa00,RyckBi00
OTI,1 | 1978,PastDa00,0,CampEa00,WilsTi00,BurrKe00,CastRi00,RenfMi00
BUF,1 | 1978,MunsBi00,1,MillTe00,BrowCu00,LewiFr00,GantRe00,WillLe00
PIT,1 | 1978,BradTe00,0,HarrFr00,BleiRo00,StalJo00,CunnBe00,BellTh00
CIN,1 | 1978,ReavJo00,0,JohnPe00,GrifAr00,WalkRi00,BrooBi01,LawxDe20
KAN,1 | 1978,LiviMi00,1,ReedTo00,MorgAr00,WhitWa00,MarsHe00,SamuTo00
CLE,1 | 1978,SipeBr00,0,PruiGr00,PruiMi00,NewsOz00,RuckRe00,LogaDa00
SFO,1 | 1978,DebeSt00,0,SimpO.00,BoykGr00,LeCoTe00,SoloFr01,MacAKe21
DET,1 | 1978,LandGr00,0,BussDe00,KingHo00,BlueLu00,HillDa01,ScotFr01
GNB,1 | 1978,WhitDa02,0,MiddTe00,SmitBa00,ThomAu00,LoftJa00,OdomSt00
NOR,1 | 1978,MannAr00,0,GalbTo00,MuncCh00,ChilHe00,HarrIk00,OwenTi00
MIN,1 | 1978,TarkFr00,0,ForeCh00,YounRi00,TuckBo00,WashHa20,RashAh00
NWE,1 | 1978,GrogSt00,0,CunnSa00,JohnAn01,JackHa00,MorgSt00,HassDo00
WAS,1 | 1978,TheiJo00,0,RiggJo00,ThomMi00,BuggDa00,GranFr00,ThomRi00
NYJ,1 | 1978,ToddRi00,0,LongKe00,DierSc00,WalkWe00,GaffDe00,BarkJe00
MIA,1 | 1978,StroDo00,1,WillDe01,HarrLe01,HarrDu00,CefaJi00,HardBr00
PHI,1 | 1978,JawoRo00,0,MontWi00,HogaMi00,CarmHa00,PaynKe00,KrepKe00
RAM,1 | 1978,HadePa00,0,BryaCu00,CappJo00,WaddBi00,MillWi00,JessRo00
CHI,1 | 1978,AvelBo00,0,PaytWa00,HarpRo00,RathBo00,LattGr00,ScotJa00
CRD,1 | 1978,HartJi00,0,OtisJi00,MorrWa00,GrayMe01,TillPa00,ChilJi20
DEN,1 | 1978,MortCr00,0,KeywJo00,PerrLo00,UpchRi00,DolbJa00,MoseHa00
RAI,1 | 1978,StabKe00,0,VanEMa00,RobiTe00,BranCl00,BradMo00,CaspDa00
SEA,1 | 1978,ZornJi00,0,SimsDa00,SmitSh00,LargSt00,HowaRo00,FergDu00
SDG,1 | 1978,FoutDa00,0,WoodDo00,MattBo00,JeffJo00,JoinCh00,KleiBo00
DAL,1 | 1978,StauRo00,0,DorsTo00,NewhRo00,HillTo00,PearPr00,PearDr00
CLT,1 | 1978,KirkMi00,0,WashJo00,LeakRo00,McCaDo00,McCaRe00,JohnMa02
TAM,2 | 1978,HuffGa00,0,BellRi01,DaviJo01,GileJi00,OwenMo00,HagiIs00
DET,2 | 1978,LandGr00,0,BussDe00,KingHo00,ThomJe02,JarvRa00,HillDa01
GNB,2 | 1978,WhitDa02,0,MiddTe00,SmitBa00,LoftJa00,ThomAu00,McGeRi00
NOR,2 | 1978,MannAr00,0,GalbTo00,MuncCh00,ChilHe00,OwenTi00,HarrIk00
NYG,2 | 1978,PisaJo00,0,KotaDo00,HammBo00,RobiJi00,ShirGa00,ThomJa01
DAL,2 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearDr00,HillTo00,DuprBi00
PIT,2 | 1978,BradTe00,0,HarrFr00,BleiRo00,SwanLy00,CunnBe00,StalJo00
SEA,2 | 1978,ZornJi00,0,SimsDa00,HuntAl00,LargSt00,HowaRo00,RaibSt00
WAS,2 | 1978,TheiJo00,0,RiggJo00,ThomMi00,FugeJe00,BuggDa00,GranFr00
PHI,2 | 1978,JawoRo00,0,MontWi00,HogaMi00,CarmHa00,PaynKe00,KrepKe00
CLE,2 | 1978,SipeBr00,0,PruiGr00,PruiMi00,RuckRe00,LogaDa00,NewsOz00
CIN,2 | 1978,ReavJo00,0,JohnPe00,GrifAr00,BassDo00,WalkRi00,CurtIs00
CRD,2 | 1978,HartJi00,0,OtisJi00,MorrWa00,RamsEa00,TillPa00,GrayMe01
