p_id,name,year,age,gamesPlayedIn,gamesStarted,rec_first_downs,rush_first_downs,awards
OwenMo00,Morris Owens,1978,25,16,11,,,None
HagiIs00,Isaac Hagins,1978,24,4,1,,,None
PerkJo00,Johnny Perkins,1978,25,14,13,,,None
RobiJi00,Jim Robinson,1978,25,16,16,,,None
PougEr00,Ernest Pough,1978,26,12,0,,,None
JenkAl00,Alfred Jenkins,1978,26,1,1,,,None
FranWa00,Wallace Francis,1978,27,16,16,,,None
RyckBi00,Billy Ryckman,1978,23,16,15,,,None
JackAl00,Alfred Jackson,1978,23,15,0,,,None
BurrKe00,Ken Burrough,1978,30,16,16,,,None
RenfMi00,Mike Renfro,1978,23,14,10,,,None
DirdJo20,Johnnie Dirden,1978,26,0,0,0.0,0.0,None
LewiFr00,Frank Lewis,1978,31,15,15,,,None
WillLe00,Leonard Willis,1978,25,4,1,,,None
StalJo00,John Stallworth,1978,26,16,16,,,None
BellTh00,Theo Bell,1978,25,16,0,,,None
SwanLy00,Lynn Swann,1978,26,16,16,,,PB-AP
ReutRa20,Randy Reutershan,1978,23,0,0,0.0,0.0,None
BrooBi01,Billy Brooks,1978,25,15,13,,,None
LawxDe20,Dennis Law,1978,23,14,2,,,None
CurtIs00,Isaac Curtis,1978,28,16,16,,,None
McInPa00,Pat McInally,1978,25,16,1,,,None
BassDo00,Don Bass,1978,22,16,8,,,None
MarsHe00,Henry Marshall,1978,24,16,16,,,None
RuckRe00,Reggie Rucker,1978,31,15,15,,,None
LogaDa00,Dave Logan,1978,24,16,16,,,None
LeCoTe00,Terry LeCount,1978,22,3,3,,,None
SoloFr01,Freddie Solomon,1978,25,16,15,,,None
BlueLu00,Luther Blue,1978,24,16,15,,,None
ScotFr01,Freddie Scott,1978,26,16,13,,,None
ThomLe01,Leonard Thompson,1978,26,16,1,,,None
ThomJe02,Jesse Thompson,1978,22,11,1,,,None
ThomAu00,Aundra Thompson,1978,25,16,16,,,None
LoftJa00,James Lofton,1978,22,16,16,,,PB
OdomSt00,Steve Odom,1978,26,12,0,,,None
HarrIk00,Ike Harris,1978,26,15,15,,,None
OwenTi00,Tinker Owens,1978,24,14,10,,,None
ChanWe00,Wes Chandler,1978,22,16,5,,,None
MautRi00,Rich Mauti,1978,24,16,1,,,None
WashHa20,Harry Washington,1978,22,10,0,,,None
RashAh00,Ahmad Rashad,1978,29,16,16,,,PB
WhitSa00,Sammy White,1978,24,16,16,,,None
MillKe21,Kevin Miller,1978,23,16,0,,,None
JackHa00,Harold Jackson,1978,32,16,13,,,None
MorgSt00,Stanley Morgan,1978,23,16,16,,,None
BuggDa00,Danny Buggs,1978,25,13,11,,,None
GranFr00,Frank Grant,1978,28,16,10,,,None
ThomRi00,Ricky Thompson,1978,24,16,4,,,None
WalkWe00,Wesley Walker,1978,23,16,16,,,PB-AP
GaffDe00,Derrick Gaffney,1978,23,16,16,,,None
HarrDu00,Duriel Harris,1978,24,16,15,,,None
CefaJi00,Jimmy Cefalo,1978,22,16,1,,,None
MoorNa00,Nat Moore,1978,27,16,15,,,None
AndeTe20,Terry Anderson,1978,23,14,0,,,None
CarmHa00,Harold Carmichael,1978,29,16,16,,,PB
PaynKe00,Ken Payne,1978,28,16,11,,,None
HenrWa00,Wally Henry,1978,-1,0,0,0.0,0.0,None
WaddBi00,Billy Waddy,1978,24,11,2,,,None
MillWi00,Willie Miller,1978,31,16,14,,,None
JessRo00,Ron Jessie,1978,30,16,16,,,None
ScalDw00,Dwight Scales,1978,25,13,0,,,None
RathBo00,Bo Rather,1978,28,9,2,,,None
ScotJa00,James Scott,1978,26,15,14,,,None
SchuSt00,Steve Schubert,1978,27,13,1,,,None
BascBr00,Brian Baschnagel,1978,24,16,1,,,None
GrayMe01,Mel Gray,1978,30,13,12,,,None
TillPa00,Pat Tilley,1978,25,16,16,,,None
ChilJi20,Jimmy Childs,1978,22,8,1,,,None
SoutTo20,Tom Southard,1978,23,0,0,0.0,0.0,None
UpchRi00,Rick Upchurch,1978,26,12,0,,,PB-AP
DolbJa00,Jack Dolbin ,1978,30,16,14,,,None
MoseHa00,Haven Moses,1978,32,16,16,,,None
BranCl00,Cliff Branch,1978,30,16,16,,,None
BradMo00,Morris Bradshaw,1978,26,16,14,,,None
BileFr00,Fred Biletnikoff,1978,35,16,2,,,None
LargSt00,Steve Largent,1978,24,16,16,,,PB
FergDu00,Duke Fergerson,1978,24,16,0,,,None
McCuSa00,Sam McCullum,1978,26,16,16,,,None
JeffJo00,John Jefferson,1978,22,14,14,,,PB
JoinCh00,Charlie Joiner,1978,31,16,15,,,None
OwenAr00,Artie Owens,1978,25,13,2,,,None
HillTo00,Tony Hill,1978,22,16,13,,,PB
PearDr00,Drew Pearson,1978,27,16,16,,,None
JohnBu00,Butch Johnson,1978,24,16,0,,,None
RichGo00,Golden Richards,1978,28,16,14,,,None
JohnMa02,Marshall Johnson,1978,26,15,1,,,None
CarrRo00,Roger Carr,1978,26,16,16,,,None
DougGl00,Glenn Doughty,1978,27,15,15,,,None
JarvRa00,Ray Jarvis,1978,29,2,2,,,None
ThomJa01,James Thompson,1978,25,13,1,,,None
RaibSt00,Steve Raible,1978,24,16,0,,,None
McDaJo00,John McDaniel,1978,27,15,11,,,None
SmitJT00,J.T. Smith,1978,23,9,0,,,None
WrigKe00,Keith Wright,1978,22,16,0,,,None
WestDo00,Don Westbrook,1978,25,16,0,,,None
WaltLa00,Larry Walton,1978,31,12,2,,,None
PiccLo00,Lou Piccone,1978,29,16,1,,,None
LeveMi20,Mike Levenseller,1978,-1,0,0,0.0,0.0,None
RodgJo00,Johnny Rodgers,1978,27,6,0,,,None
SchuJo00,John Schultz,1978,-1,0,0,0.0,0.0,None
PearDe00,Dennis Pearson,1978,23,13,0,,,None
FeacRi00,Ricky Feacher,1978,24,16,1,,,None
DorsLa00,Larry Dorsey,1978,25,16,0,,,None
StepBr20,Bruce Stephens,1978,22,0,0,0.0,0.0,None
StieDa00,Dave Stief,1978,22,15,3,,,None
MuckLa00,Larry Mucker,1978,24,16,7,,,None
JohnBi01,Billy Johnson,1978,26,5,0,,,None
PennCa00,Carlos Pennywell,1978,22,16,0,,,None
ChanBo00,Bob Chandler,1978,29,16,13,,,None
SmitCh00,Charlie Smith,1978,28,14,5,,,None
BoydEl00,Elmo Boyd,1978,24,11,7,,,None
McKaJo00,John McKay,1978,25,15,7,,,None
StewJo20,Joe Stewart,1978,-1,0,0,0.0,0.0,None
SmitJi01,Jim Smith,1978,23,9,0,,,None
BrunLa00,Larry Brunson,1978,29,2,0,,,None
BurkRa00,Randy Burke,1978,23,15,0,,,None
DennPr00,Preston Dennard,1978,23,11,0,,,None
SmitRo02,Ron Smith,1978,22,16,0,,,None
MerkGu00,Guido Merkens,1978,23,12,0,,,None
JoneBo00,Bobby Jones,1978,23,16,0,,,None
BellKe21,Kevin Bell,1978,23,0,0,0.0,0.0,None
McDoDw00,Dwight McDonald,1978,27,12,0,,,None
HarrKe00,Kenny Harrison,1978,25,8,6,,,None
ShumMi00,Mike Shumann,1978,23,6,0,,,None
KinnVi20,Vince Kinney,1978,22,8,0,,,None
SianMi00,Mike Siani,1978,28,7,0,,,None
StepJa21,Jack Steptoe,1978,22,6,0,,,None
WoodRo00,Robert Woods,1978,23,3,1,,,None
BurtLa00,Larry Burton,1978,27,3,0,,,None
McGeWi00,Willie McGee,1978,-1,0,0,0.0,0.0,None
TullWa00,Walter Tullis,1978,25,16,0,,,None
ScotFr01,Freddie Scott,1979,27,14,14,,,None
BlueLu00,Luther Blue,1979,25,9,3,,,None
ThomLe01,Leonard Thompson,1979,27,15,1,,,None
LewiFr00,Frank Lewis,1979,32,15,15,,,None
