key,wy,qb1
TAM-197809020tam,1 | 1978,WillDo01
NYG-197809020tam,1 | 1978,GolsJe00
ATL-197809030atl,1 | 1978,JoneJu00
OTI-197809030atl,1 | 1978,PastDa00
BUF-197809030buf,1 | 1978,FergJo00
PIT-197809030buf,1 | 1978,BradTe00
CIN-197809030cin,1 | 1978,ReavJo00
KAN-197809030cin,1 | 1978,LiviMi00
CLE-197809030cle,1 | 1978,SipeBr00
SFO-197809030cle,1 | 1978,DebeSt00
DET-197809030det,1 | 1978,LandGr00
GNB-197809030det,1 | 1978,WhitDa02
NOR-197809030nor,1 | 1978,MannAr00
MIN-197809030nor,1 | 1978,TarkFr00
NWE-197809030nwe,1 | 1978,GrogSt00
WAS-197809030nwe,1 | 1978,TheiJo00
NYJ-197809030nyj,1 | 1978,ToddRi00
MIA-197809030nyj,1 | 1978,StroDo00
PHI-197809030phi,1 | 1978,JawoRo00
RAM-197809030phi,1 | 1978,HadePa00
CHI-197809030chi,1 | 1978,AvelBo00
CRD-197809030chi,1 | 1978,HartJi00
DEN-197809030den,1 | 1978,MortCr00
RAI-197809030den,1 | 1978,StabKe00
SEA-197809030sea,1 | 1978,ZornJi00
SDG-197809030sea,1 | 1978,FoutDa00
DAL-197809040dal,1 | 1978,StauRo00
CLT-197809040dal,1 | 1978,KirkMi00
TAM-197809090tam,2 | 1978,BoryMi00
DET-197809090tam,2 | 1978,LandGr00
GNB-197809100gnb,2 | 1978,WhitDa02
NOR-197809100gnb,2 | 1978,MannAr00
NYG-197809100nyg,2 | 1978,PisaJo00
DAL-197809100nyg,2 | 1978,StauRo00
PIT-197809100pit,2 | 1978,BradTe00
SEA-197809100pit,2 | 1978,ZornJi00
WAS-197809100was,2 | 1978,TheiJo00
PHI-197809100was,2 | 1978,JawoRo00
CLE-197809100cle,2 | 1978,SipeBr00
CIN-197809100cle,2 | 1978,ReavJo00
CRD-197809100crd,2 | 1978,HartJi00
NWE-197809100crd,2 | 1978,GrogSt00
KAN-197809100kan,2 | 1978,LiviMi00
OTI-197809100kan,2 | 1978,PastDa00
BUF-197809100buf,2 | 1978,FergJo00
NYJ-197809100buf,2 | 1978,ToddRi00
CLT-197809100clt,2 | 1978,TrouBi00
MIA-197809100clt,2 | 1978,StroDo00
RAM-197809100ram,2 | 1978,HadePa00
ATL-197809100ram,2 | 1978,JoneJu00
SDG-197809100sdg,2 | 1978,FoutDa00
RAI-197809100sdg,2 | 1978,StabKe00
SFO-197809100sfo,2 | 1978,DebeSt00
CHI-197809100sfo,2 | 1978,AvelBo00
MIN-197809110min,2 | 1978,TarkFr00
DEN-197809110min,2 | 1978,MortCr00
ATL-197809170atl,3 | 1978,JoneJu00
CLE-197809170atl,3 | 1978,SipeBr00
CIN-197809170cin,3 | 1978,ReavJo00
PIT-197809170cin,3 | 1978,BradTe00
DET-197809170det,3 | 1978,LandGr00
CHI-197809170det,3 | 1978,AvelBo00
NYG-197809170nyg,3 | 1978,PisaJo00
KAN-197809170nyg,3 | 1978,LiviMi00
NYJ-197809170nyj,3 | 1978,ToddRi00
SEA-197809170nyj,3 | 1978,ZornJi00
CRD-197809170crd,3 | 1978,HartJi00
WAS-197809170crd,3 | 1978,TheiJo00
GNB-197809170gnb,3 | 1978,WhitDa02
RAI-197809170gnb,3 | 1978,StabKe00
MIN-197809170min,3 | 1978,TarkFr00
